complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Underpass flooded after 1hr rain and ambulance diverted, lives at risk.",
GH-202402,Flooding,Standard,"Market area flooded, traders suffering losses and drain completely blocked.",
GH-202406,Drain Blockage,Standard,"Main stormwater drain 100% blocked with construction debris.",
GH-202407,Drain Blockage,Standard,"Drain blocked with mosquito breeding and Dengue concern.",
GH-202410,Pothole,Standard,"Potholes are causing vehicles to slow to 20kmph on a fast road.",
GH-202411,Pothole,Urgent,"Pothole swallowed an entire motorcycle wheel and rider hospitalised.",
GH-202412,Pothole,Urgent,"School bus struggling to navigate 6 potholes in a 200m stretch.",
GH-202417,Waste,Standard,"Heritage zone garbage overflow with tourist photographs showing piles of waste.",
GH-202420,Noise,Standard,"Construction drilling from 5am daily near residential towers.",
GH-202422,Road Damage,Urgent,"Road collapsed partially with a 1m deep crater near a residential gate.",
GH-202424,Flooding,Standard,"Underpass floods in light rain and cars are regularly abandoned.",
GH-202428,Waste,Standard,"Post-market waste not cleared, making the area unusable by Sunday morning.",
GH-202432,Noise,Low,"24hr supermarket delivery trucks idling with engines on.",
GH-202448,Drain Blockage,Standard,"Main drain blocked, putting the entire locality at flooding risk this week.",
GH-202438,Flooding,Standard,"Colony surrounded by fields channels rainwater through the main road.",
